Date,Time,Detection Area,Quadrant,Center X,Center Y,Object Area,Closest Point X,Closest Point Y,Distance,Angle from Center,Angle from Closest,New Angle,
07/05/2023,18:20:43,2,RIGHT,333,258,107.0,330,263,57.87054518492115,-86.389,-113.0436,1142.04,
07/05/2023,18:20:43,2,LEFT,321,236,1512.0,312,253,67.47592163134935,-89.7487,-113.7874,1263.96,
07/05/2023,18:20:43,3,RIGHT,373,201,98.0,375,207,125.67418191498204,-78.6063,-141.7757,0.0,
07/05/2023,18:20:44,2,RIGHT,333,244,1413.0,330,258,62.80127387243033,-86.6183,-114.8293,906.6,
07/05/2023,18:20:44,2,LEFT,333,243,1561.0,305,256,65.73431371817918,-86.6335,-111.9256,1336.17,
07/05/2023,18:20:44,3,RIGHT,361,202,710.0,338,210,111.46299834474219,-81.106,-131.1215,0.0,
07/05/2023,18:20:44,3,RIGHT,517,192,97.5,505,193,224.39696967650877,-54.0855,162.1081,0.0,
07/05/2023,18:20:44,2,LEFT,332,245,1622.5,308,258,63.150613615387776,-86.8636,-111.6746,1366.48,
07/05/2023,18:20:44,3,RIGHT,353,201,1525.5,323,212,108.04165863221463,-82.8482,-127.4506,0.0,
07/05/2023,18:20:44,2,RIGHT,333,247,1352.5,320,260,60.0,-86.5716,-112.6199,949.82,
07/05/2023,18:20:44,2,RIGHT,337,254,1247.5,325,270,50.24937810560445,-85.3719,-109.7843,1050.08,
07/05/2023,18:20:44,3,RIGHT,358,198,513.5,328,202,118.27087553578015,-81.8699,-130.9464,0.0,
07/05/2023,18:20:44,2,RIGHT,338,253,860.5,325,263,57.21887800367987,-85.124,-112.2972,1028.75,
07/05/2023,18:20:44,2,RIGHT,337,248,1213.0,323,260,60.07495318350236,-85.4999,-113.0513,953.46,
07/05/2023,18:20:45,2,RIGHT,336,245,1114.5,323,258,62.07253821135398,-85.8214,-113.7359,913.27,
07/05/2023,18:20:45,2,RIGHT,334,239,1642.0,325,258,62.20128616033595,-86.4395,-114.0389,839.61,
07/05/2023,18:20:45,2,RIGHT,336,232,1322.5,328,248,72.44308110509934,-86.0548,-117.8973,757.73,
07/05/2023,18:20:45,2,RIGHT,333,232,1225.0,323,244,76.05918747922567,-86.7928,-118.325,762.11,
07/05/2023,18:20:45,2,RIGHT,334,234,1229.0,328,251,69.46221994724903,-86.5167,-116.9011,782.03,
07/05/2023,18:20:45,2,RIGHT,334,230,1212.0,325,248,72.17340230306452,-86.5761,-117.3835,740.4,
07/05/2023,18:20:45,2,RIGHT,334,229,1152.0,320,241,79.0,-86.5907,-118.7497,730.54,
07/05/2023,18:20:46,2,RIGHT,337,229,1093.0,320,241,79.0,-85.8624,-118.7497,726.33,
07/05/2023,18:20:46,2,RIGHT,338,233,1048.5,325,246,74.16872656315464,-85.5444,-118.0297,764.55,
07/05/2023,18:20:46,2,RIGHT,338,232,1021.5,328,248,72.44308110509934,-85.5635,-117.8973,754.28,
07/05/2023,18:20:46,2,RIGHT,340,231,1032.5,323,244,76.05918747922567,-85.0939,-118.325,740.5,
07/05/2023,18:20:46,3,RIGHT,376,199,1089.0,360,210,117.04699910719626,-78.0678,-136.606,0.0,
07/05/2023,18:20:46,2,RIGHT,339,231,1109.0,323,244,76.05918747922567,-85.3381,-118.325,742.41,
07/05/2023,18:20:46,3,RIGHT,380,201,562.0,360,205,121.75795661885921,-77.1487,-137.8755,0.0,
07/05/2023,18:20:46,2,RIGHT,339,233,1292.0,335,248,73.54590403278758,-85.2979,-119.1676,762.6,
07/05/2023,18:20:46,3,RIGHT,391,200,157.0,390,207,132.92479076530458,-74.9471,-146.7805,0.0,
07/05/2023,18:20:46,2,RIGHT,338,233,1307.5,320,246,74.0,-85.5444,-117.1981,764.55,
07/05/2023,18:20:46,3,RIGHT,390,201,179.0,385,207,130.36103712382777,-75.0957,-145.042,0.0,
07/05/2023,18:20:46,3,RIGHT,553,193,241.0,535,198,247.2023462671825,-49.3118,149.802,0.0,
07/05/2023,18:20:46,3,RIGHT,389,202,109.0,383,207,129.37542270462347,-75.2457,-144.3665,0.0,
07/05/2023,18:20:46,3,RIGHT,567,193,118.5,553,195,264.41255643406953,-47.6527,144.5491,0.0,
07/05/2023,18:20:47,2,RIGHT,341,241,997.0,325,253,67.1863081289633,-84.6203,-115.7347,847.11,
